book_id,ቋንቋ,መጽሐፍ_ስም,ዓመታዊ_በዓላት,ወርሃዊ_ቀን,ሳምንታዊ_ቀናት,የዘወትር
AM-GDL-011,AM,ገድለ አቡነ በጸሎተ ሚካኤል በአማርኛ,ሰኔ 12,12,,
AM-GDL-012,AM,ገድለ አቡነ ዘርዐ ቡሩከ በአማርኛ,"መስከረም 13, ጥቅምት 13, ጥር 13",13,,
AM-GDL-013,AM,የቅዱስ ዮሐንስ ገድል በአማርኛ,"ጥር 4, ግንቦት 4",4,,
AM-GDL-014,AM,የአቡነ እስትንፋሰ ክርስቶስ ገድል በአማርኛ,"ጥር 9, መጋቢት 2",9,,
AM-GDL-015,AM,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በአማርኛ,ኅዳር 25,25,,
AM-GDL-016,AM,ገድለ አቡነ አረጋዊ በአማርኛ,ጥቅምት 14,14,,
AM-GDL-017,AM,ገድለ አቡነ ገሪማ በአማርኛ,"ሰኔ 17, ጥቅምት 17",17,,
AM-GDL-018,AM,ገድለ ቅዱስ ጊዮርጊስ ሰማዕት በአማርኛ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
AM-GDL-019,AM,ገድለ አዳም በአማርኛ,ሚያዝያ 6,,,
AM-GDL-020,AM,ገድለ እምነ ወለተ ጴጥሮስ በአማርኛ,ጥቅምት 17,17,,
AM-GDL-021,AM,ገድለ አቡነ ኪሮስ በአማርኛ,ሐምሌ 8,8,,
AM-GDL-023,AM,የቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል በአማርኛ,"ሐምሌ 19, ጥር 15",15,,
AM-GDL-025,AM,ገድለ ቅዱስ ዞሲማስ በአማርኛ,ሚያዝያ 9,,,
AM-GDL-027,AM,ገድለ አቡነ እጨጌ ዮሐንስ ዘጸገሮ በአማርኛ,ሐምሌ 29,,,
AM-GDL-028,AM,ገድለ አቡነ አሮን መንክራዊ በአማርኛ,ግንቦት 19,21,,
AM-GDL-030,AM,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በአማርኛ,"ነሐሴ 14, ኅዳር 20",,,
AM-KID-001,AM,መዓዛ ቅዳሴ በአማርኛ,,,,
AM-KOH-001,AM,ኆኅተ ብርሃን በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-LAH-001,AM,ላሐ ማርያም በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-MEL-001,AM,መልክአ ኖላዊ በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-MEL-002,AM,መልክአ ኢየሱስ በአማርኛ,"ታኅሣሥ 29, መጋቢት 29",29,,
AM-MEL-004,AM,መልክዐ ሕማማተ መስቀል በአማርኛ,,,,
AM-MEL-005,AM,መልክዐ መቃርዮስ በአማርኛ,"ጥቅምት 19, መጋቢት 27",4,,
AM-MEL-006,AM,መልክዐ ሚካኤል በአማርኛ,"ሰኔ 12, ኅዳር 12",12,,
AM-MEL-007,AM,መልክዐ ማሕየዊ በአማርኛ,,,"ረቡዕ, አርብ",
AM-MEL-008,AM,መልክዐ ማርያም ሣልሲት በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-MEL-009,AM,መልክዐ ማርያም በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-MEL-010,AM,መልክዐ ሥላሴ በአማርኛ,,7,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-MEL-011,AM,መልክዐ ቅንዋት በአማርኛ,,,,
AM-MEL-013,AM,መልክዐ ቅዱስ ሚናስ በአማርኛ,ኅዳር 15,15,,
AM-MEL-014,AM,መልክዐ ቅዱስ ራጉኤል በአማርኛ,"መስከረም 1, ጳጉሜ 6",1,,
AM-MEL-015,AM,መልክዐ ቅዱስ ቂርቆስ በአማርኛ,"ሐምሌ 19, ጥር 15",15,,
AM-MEL-016,AM,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,"ጥር 4, ግንቦት 4",4,,
AM-MEL-017,AM,መልክዐ ቅድስት ጸበለ ማርያም በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-MEL-018,AM,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በአማርኛ,ሐምሌ 14,14,,
AM-MEL-021,AM,መልክዐ አቡነ ዮሐንስ ጻድቅ በአማርኛ,መጋቢት 4,4,,
AM-MEL-022,AM,መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ,ነሐሴ 24,,,
AM-MEL-023,AM,መልክዐ አዳም ወሔዋን በአማርኛ,ሚያዝያ 6,,,
AM-MEL-025,AM,መልክዐ ኢትዮጵያ በአማርኛ,መስከረም 1,,,
AM-MEL-026,AM,መልክዐ ኤዶም በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-MEL-027,AM,መልክዐ ኪዳነ ምሕረት በአማርኛ,የካቲት 16,16,,
AM-MEL-029,AM,መልክዐ ጰራቅሊጦስ በአማርኛ,,,,
AM-MEL-030,AM,መልክዐ ፍልሰታ በአማርኛ,"ነሐሴ 1, ነሐሴ 16",,,
AM-MEL-032,AM,ኹለተኛ መልክዐ ሥዕል በአማርኛ,"መስከረም 26, ኅዳር 5",,,
AM-MEL-033,AM,የሐዋርያው የቅዱስ ታዴዎስ መልክዕ በአማርኛ,ሐምሌ 2,,,
AM-MEL-034,AM,የመድኀኔ ዓለም 3ኛ መልክዕ በአማርኛ,"ኅዳር 27, መጋቢት 27",27,,
AM-MEL-035,AM,የመድኀኔ ዓለም መልክዕ በአማርኛ,"ኅዳር 27, መጋቢት 27",27,,
AM-MEL-036,AM,የሰማዕቱ ቅዱስ ጊጋር መልክዕ በአማርኛ,ነሐሴ 16,,,
AM-MEL-037,AM,የቅዱሳን ሠለስቱ ደቂቅ መልክዕ በአማርኛ,ታኅሣሥ 19,,,
AM-MEL-038,AM,የቅዱሳን አእላፍ መላእክት 2ኛ መልክዕ በአማርኛ,ኅዳር 13,,,
AM-MEL-041,AM,የቅዱስ ሚካኤል 3ኛ መልክዕ በአማርኛ,"ሰኔ 12, ኅዳር 12",12,,
AM-MEL-042,AM,የቅዱስ ማርቆስ 2ኛ መልክዕ በአማርኛ,ሚያዝያ 30,30,,
AM-MEL-043,AM,የቅዱስ ሩፋኤል መልክዕ በአማርኛ,ጳጉሜ 3,13,,
AM-MEL-044,AM,የቅዱስ አቦሊ መልክዕ በአማርኛ,ነሐሴ 1,,,
AM-MEL-045,AM,የቅዱስ እስጢፋኖስ 2ኛ መልክዕ በአማርኛ,"ጥቅምት 17, ጥር 1",17,,
AM-MEL-046,AM,የቅዱስ እንድርያስ ሐዋርያ መልክዕ በአማርኛ,ታኅሣሥ 7,,,
AM-MEL-047,AM,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,"ጥር 4, ግንቦት 4",4,,
AM-MEL-049,AM,የቅዱስ ዳዊት መልክዕ በአማርኛ,"ታኅሣሥ 23, ሚያዝያ 6",,,
AM-MEL-050,AM,የቅዱስ ገብርኤል መልክዕ በአማርኛ,"ሐምሌ 19, ታኅሣሥ 19",19,,
AM-MEL-051,AM,የቅዱስ ጊዮርጊስ መልክዕ በአማርኛ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
AM-MEL-054,AM,የአቡነ ሳሙኤል ዘዋልድባ መልክዕ በአማርኛ,"ታኅሣሥ 12, ታኅሣሥ 9",,,
AM-MEL-055,AM,የአቡነ ሳሙኤል ዘዋልድባ ኹለተኛ መልክዕ በአማርኛ,"ታኅሣሥ 12, ታኅሣሥ 9",,,
AM-MEL-057,AM,የአቡነ ተክለ ሃይማኖት 2ኛ መልክዕ በአማርኛ,"ነሐሴ 24, ታኅሣሥ 24, ግንቦት 12",24,,
AM-MEL-058,AM,የአቡነ ተክለ ሃይማኖት መልክዕ በአማርኛ,"ነሐሴ 24, ታኅሣሥ 24, ግንቦት 12",24,,
AM-MEL-061,AM,የአቡነ ዘርዐ ቡሩክ መልክዕ በአማርኛ,"መስከረም 13, ጥቅምት 13, ጥር 13",13,,
AM-MEL-062,AM,የአቡነ ዜና ማርቆስ መልክዕ በአማርኛ,"ታኅሣሥ 3, መጋቢት 3",3,,
AM-MEL-064,AM,የጽዮን ማርያም 3ኛ መልክዕ በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-MEL-065,AM,ጸሎተ መልክዐ ሥቃዩ ለቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
AM-MEL-066,AM,ጸሎተ መልክዕ ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
AM-MEL-067,AM,ጸሎተ መልክዕ ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት ካልዕ በአማርኛ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
AM-MEN-001,AM,መንገደ ሰማይ በአማርኛ,,,,
AM-MIK-001,AM,ምክሓ ምእመናን ክርስቶስ በአማርኛ,"ኅዳር 27, መጋቢት 27",27,,
AM-MTS-001,AM,መጽሐፈ ሜላድ በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-RAY-001,AM,ራዕየ ማርያም በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-SBT-001,AM,የሰባት (፯) ቁጥር ምስጢራትና ምሉዕነት,,,,
AM-SEL-001,AM,ሰላም ለፍልሰተ ሥጋኪ በአማርኛ,ነሐሴ 1,,,
AM-SEY-002,AM,ሰይፈ ሥላሴ በአማርኛ,,7,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-SIB-001,AM,ስብሐተ ፍቁር ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
AM-TAM-001,AM,ተአምረ ኢየሱስ በአማርኛ,"ታኅሣሥ 29, መጋቢት 29",29,,
AM-TAM-002,AM,ተአምረ ማርያም በአማርኛ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
AM-TEA-001,AM,ተአምኆ ቅዱሳን በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-TSE-006,AM,ጸሎተ ንድራ በአማርኛ,,,,
AM-WUD-002,AM,ውዳሴ ማርያም በአማርኛ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",
AM-WUD-003,AM,ውዳሴ አምላክ በአማርኛ,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",
AM-ZNA-001,AM,ዜና ሥላሴ በአማርኛ,,7,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
AM-ZNA-002,AM,ዜና አበው በአማርኛ,,,,
AM-ZNA-003,AM,ዜና ሐዋርያት በአማርኛ,"ሐምሌ 5, ነሐሴ 15",,,
EN-WUD-001,EN,HYMN OF PRAISE,,,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",
GZ-DRS-001,GZ,ድርሳነ ዑራኤል በግእዝ,"ሐምሌ 22, ጥር 22",22,,
GZ-DRS-003,GZ,ድርሳነ ቅዱስ ራጉኤል በግእዝ,"መስከረም 1, ጳጉሜ 6",1,,
GZ-DRS-005,GZ,ድርሳነ መድኃኔ ዓለም በግእዝ,"ኅዳር 27, መጋቢት 27",27,,
GZ-DRS-006,GZ,ድርሳን ዘብጹዕ ፊሳልጎስ በግእዝ,,,,
GZ-DRS-008,GZ,ድርሳነ ሚካኤል በግእዝ,"ሰኔ 12, ኅዳር 12",12,,
GZ-DRS-009,GZ,ድርሳን ቅዱስ ሩፋኤል በግእዝ,ጳጉሜ 3,13,,
GZ-DRS-010,GZ,ድርሳነ ገብርኤል በግእዝ,"ሐምሌ 19, ታኅሣሥ 19",19,,
GZ-ENZ-001,GZ,እንዚራ ስብሐት በግእዝ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-ETA-001,GZ,እትአመነኪ ማርያም በሰማይ ወበምድር በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-GDL-001,GZ,ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,"ነሐሴ 5, ጥር 15",,,
GZ-GDL-002,GZ,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በግእዝ,ኅዳር 25,25,,
GZ-GDL-003,GZ,ገድለ እምነ ወለተ ጴጥሮስ በግእዝ,ጥቅምት 17,17,,
GZ-GDL-004,GZ,ገድለ አቡነ ዘርዐ ቡሩከ በግእዝ,"መስከረም 13, ጥቅምት 13, ጥር 13",13,,
GZ-GDL-005,GZ,ገድለ አቡነ አበክረዙን በግእዝ,ሐምሌ 25,,,
GZ-GDL-006,GZ,ገድለ አቡነ እስትንፋስ ክርስቶስ በግእዝ,"ጥር 9, መጋቢት 2",9,,
GZ-GDL-007,GZ,ገድለ ቅዱስ አባ ጊዮርጊስ ዘጋሥጫ በግእዝ,ሐምሌ 7,23,,
GZ-GDL-008,GZ,ገድለ ቅዱስ ዞሲማስ በግእዝ,ሚያዝያ 9,,,
GZ-GDL-009,GZ,ገድለ ቅዱስ ሱስንዮስ በግእዝ,ሚያዝያ 26,,,
GZ-GDL-012,GZ,ገድለ ቅዱስ ቈጵርያኖስ ወቅድስት ኢዩስጣ በግእዝ,ጥቅምት 7,,,
GZ-GDL-014,GZ,ገድለ ቅዱስ ጊዮርጊስ ሰማዕት በግእዝ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
GZ-GDL-015,GZ,ገድለ አቡነ በጸሎተ ሚካኤል በግእዝ,ሰኔ 12,12,,
GZ-GDL-016,GZ,ገድለ አቡነ ኪሮስ በግእዝ,ሐምሌ 8,8,,
GZ-GDL-018,GZ,ገድለ አቡነ ዮሐንስ በግእዝ,ታኅሣሥ 28,4,,
GZ-GDL-019,GZ,ገድለ ቅድስት ክርስቶስ ሠምራ በግእዝ,"ነሐሴ 24, ግንቦት 12",24,,
GZ-GDL-021,GZ,ድርሳን ወገድል ዘቅዱስ ያሬድ በግእዝ,"ኅዳር 11, ግንቦት 11",,,
GZ-GDL-022,GZ,ገድለ ቅዱስ እስጢፋኖስ በግእዝ,"ጥቅምት 17, ጥር 1",17,,
GZ-GDL-024,GZ,ገድለ አቡነ አሮን መንክራዊ ግእዝ,ግንቦት 19,21,,
GZ-GDL-026,GZ,ገድለ ቅዱሳን አባዲር ወኢራኢ በግእዝ,መስከረም 28,28,,
GZ-GDL-030,GZ,ገድለ ቅዱስ ቴዎድሮስ በግእዝ,"ነሐሴ 14, ኅዳር 20",,,
GZ-GDL-031,GZ,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በግእዝ,"ነሐሴ 14, ኅዳር 20",,,
GZ-GDL-032,GZ,መጽሐፈ ገድለ ቅዱሳን ሐዋርያት በግእዝ,"ሐምሌ 5, ነሐሴ 15",,,
GZ-GDL-033,GZ,ገድለ ሰማዕት ቅድስት አርሴማ በግእዝ,"መስከረም 15, ጥቅምት 29",6,,
GZ-GDL-034,GZ,ገድለ አቡነ ፍሬ ሚካኤል በግእዝ,,12,,
GZ-HIB-001,GZ,ኅብረ ሥላሴ በግእዝ,,7,,
GZ-KOH-001,GZ,ኆኅተ ብርሃን በግእዝ,,21,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-LAH-001,GZ,ላሐ ማርያም በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-001,GZ,ሐዲስ መልክዐ መድኃኔዓለም በግእዝ,,27,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MEL-002,GZ,መልከዐ ማርያም ዳግሚት በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-003,GZ,መልከዐ አቡነ ሊቃኖስ በግእዝ,ኅዳር 28,,,
GZ-MEL-004,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ሣልስ በግእዝ,"ሰኔ 12, ኅዳር 12",12,,
GZ-MEL-005,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ሚካኤል ካልዕ በግእዝ,"ሰኔ 12, ኅዳር 12",12,,
GZ-MEL-006,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ሩፋኤል በግእዝ,ጳጉሜ 3,13,,
GZ-MEL-007,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ራጉኤል በግእዝ,"መስከረም 1, ጳጉሜ 6",1,,
GZ-MEL-008,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ,,27,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MEL-009,GZ,መልክዐ ሊቀ መላእክት ቅዱስ በግእዝ,,12,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MEL-011,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል በግእዝ,"ሐምሌ 22, ጥር 22",22,,
GZ-MEL-012,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ዑራኤል ካልእ በግእዝ,"ሐምሌ 22, ጥር 22",22,,
GZ-MEL-013,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል በግእዝ,"ሐምሌ 19, ታኅሣሥ 19",19,,
GZ-MEL-014,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ገብርኤል ካልዕ (ደቅስዮስ) በግእዝ,"ሐምሌ 19, ታኅሣሥ 19",19,,
GZ-MEL-015,GZ,መልክዐ ሊቀ መላእክት ቅዱስ ፋኑኤል በግእዝ,ታኅሣሥ 3,3,,
GZ-MEL-016,GZ,መልክዐ ሊቀ ሰማዕታት ቅዱስ እስጢፋኖስ በግእዝ,"ጥቅምት 17, ጥር 1",17,,
GZ-MEL-017,GZ,መልክዐ ሊቀ ሰማዕታት ቅዱስ እስጢፋኖስ ካልእ በግእዝ,"ጥቅምት 17, ጥር 1",17,,
GZ-MEL-019,GZ,መልክዐ ላሊበላ በግዕዝ,"ሰኔ 12, ታኅሣሥ 29",,,
GZ-MEL-020,GZ,መልክዐ ልደታ በግእዝ,ግንቦት 1,1,,
GZ-MEL-023,GZ,መልክዐ ሐዋርያት በግእዝ,"ሐምሌ 5, ነሐሴ 15",,,
GZ-MEL-024,GZ,መልክዐ ሕማማተ መስቀል በግእዝ,,,,
GZ-MEL-026,GZ,መልክዐ መቃርዮስ በግእዝ,"ጥቅምት 19, መጋቢት 27",4,,
GZ-MEL-027,GZ,መልክዐ መድኀኔ ዓለም ሣልስ በግዕዝ,"ኅዳር 27, መጋቢት 27",27,,
GZ-MEL-028,GZ,መልክዐ መድኃኔ ዓለም በግእዝ,"ኅዳር 27, መጋቢት 27",27,,
GZ-MEL-029,GZ,መልክዐ ማሕየዊ በግእዝ,,,"ረቡዕ, አርብ",
GZ-MEL-030,GZ,መልክዐ ማርቆስ በግእዝ,ሚያዝያ 30,30,,
GZ-MEL-031,GZ,መልክዐ ማርያም ሣልሲት በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-032,GZ,መልክዐ ማርያም በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-033,GZ,መልክዐ ሠለስቱ ምዕት በግእዝ,ታኅሣሥ 2,,,
GZ-MEL-034,GZ,መልክዐ ሥሉስ ቅዱስ በግእዝ,,,,
GZ-MEL-035,GZ,መልክዐ ሥላሴ በግእዝ,,7,"ሰኞ, ማክሰኞ, ረቡዕ, ሐሙስ, አርብ, ቅዳሜ, እሁድ",ሁልጊዜ
GZ-MEL-036,GZ,መልክዐ ሥቃዩ ለጊዮርጊስ በግእዝ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
GZ-MEL-037,GZ,መልክዐ ሥዕል ካልእ በግእዝ,"መስከረም 26, ኅዳር 5",,,
GZ-MEL-038,GZ,መልክዐ ሰላማ በግእዝ,ሐምሌ 26,26,,
GZ-MEL-039,GZ,መልክዐ ሰማዕት ቅዱስ መርቆሬዎስ በግእዝ,ኅዳር 25,25,,
GZ-MEL-040,GZ,መልክዐ ሰማዕት ቅዱስ ቴዎድሮስ በግእዝ,"ነሐሴ 14, ኅዳር 20",,,
GZ-MEL-041,GZ,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,"መስከረም 6, የካቲት 11",,,
GZ-MEL-042,GZ,መልክዐ ሰማዕት ቅድስት አርሴማ በግእዝ,"መስከረም 15, ጥቅምት 29",6,,
GZ-MEL-043,GZ,መልክዐ ሰማዕት ቅድስት ኢየሉጣ በግእዝ,"ሐምሌ 19, ጥር 15",15,,
GZ-MEL-044,GZ,መልክዐ ሰንበት በግዕዝ,,,"ቅዳሜ, እሁድ",
GZ-MEL-046,GZ,መልክዐ ቅንዋት በግእዝ,,,,
GZ-MEL-047,GZ,መልክዐ ቅዱሳን ሠለስቱ ደቂቅ በግእዝ,ታኅሣሥ 19,,,
GZ-MEL-048,GZ,መልክዐ ቅዱሳን ዘመጠራ በግእዝ,ሰኔ 17,,,
GZ-MEL-052,GZ,መልክዐ ቅዱስ ሚናስ በግእዝ,ኅዳር 15,15,,
GZ-MEL-053,GZ,መልክዐ ቅዱስ ማርቆስ ካልእ በግእዝ,ሚያዝያ 30,30,,
GZ-MEL-054,GZ,መልክዐ ቅዱስ ቂርቆስ በግእዝ,"ሐምሌ 19, ጥር 15",15,,
GZ-MEL-055,GZ,መልክዐ ቅዱስ ታዴዎስ በግእዝ,ሐምሌ 2,,,
GZ-MEL-056,GZ,መልክዐ ቅዱስ አባዲር በግእዝ,መስከረም 28,28,,
GZ-MEL-057,GZ,መልክዐ ቅዱስ አቦሊ በግእዝ,ነሐሴ 1,,,
GZ-MEL-061,GZ,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,"ጥር 4, ግንቦት 4",4,,
GZ-MEL-062,GZ,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,"ጥር 4, ግንቦት 4",4,,
GZ-MEL-064,GZ,መልክዐ ቅዱስ ዳዊት በግእዝ,"ታኅሣሥ 23, ሚያዝያ 6",,,
GZ-MEL-065,GZ,መልክዐ ቅዱስ ጊዮርጊስ በግእዝ,"ኅዳር 23, የካቲት 23, ሚያዝያ 23",23,,
GZ-MEL-066,GZ,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በግእዝ,ሐምሌ 14,14,,
GZ-MEL-067,GZ,መልክዐ ቍርባን በግዕዝ,,,,
GZ-MEL-068,GZ,መልክዐ ተክለ ሃይማኖት በግእዝ,"ነሐሴ 24, ታኅሣሥ 24, ግንቦት 12",24,,
GZ-MEL-069,GZ,መልክዐ ተክለ ሃይማኖት ካልእ በግእዝ,"ነሐሴ 24, ታኅሣሥ 24, ግንቦት 12",24,,
GZ-MEL-070,GZ,መልክዐ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን በግእዝ,"ነሐሴ 16, ኅዳር 21, ጥር 21, ግንቦት 1",21,,
GZ-MEL-072,GZ,መልክዐ አማኑኤል በግእዝ,,28,,
GZ-MEL-073,GZ,መልክዐ አረጋዊ በግእዝ,ጥቅምት 14,14,,
GZ-MEL-076,GZ,መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ,ኅዳር 25,25,,
GZ-MEL-077,GZ,መልክዐ አቡነ መዝገበ ሥላሴ በግእዝ,"ሐምሌ 7, ጥቅምት 9",,,
GZ-MEL-078,GZ,መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ,ኅዳር 3,,,
GZ-MEL-079,GZ,መልክዐ አቡነ ሙሴ በግእዝ,"ሰኔ 24, ነሐሴ 13",,,
GZ-MEL-080,GZ,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ,ጥቅምት 12,,,
