eth_date,day_id,sinksar_saints_count,tselot_books_count,matched,missing_count,match_rate_percent,missing_saints_list
1-15,15,8,11,3,5,38,አቡነ ገብረ ማርያም ዘሐንታ (annual) | አባ ዼጥሮስ ዘሃገረ ጠራው (annual) | ቅዱስ ኤፍሬም ሶርያዊ (አፈ በረከት) (monthly) | ቅድስት እንባ መሪና (monthly) | ቅድስት ክርስጢና (monthly)
1-16,16,12,3,3,9,25,ሕንጸታ ለኢየሩሳሌም (annual) | ቅድስት እሌኒ ንግሥት (annual) | ቅዱስ ጦቢት ነቢይ (annual) | ቅዱሳን ጦብያና ሣራ (annual) | አባ አጋቶን ባሕታዊ (annual) | ቅድስት ኤልሳቤጥ (የመጥምቁ ዮሐንስ እናት) (monthly) | ቅዱስ አኖሬዎስ ንጉሥ ጻድቅ (monthly) | አባ አቡናፍር ገዳማዊ (monthly) | አባ ዳንኤል ጻድቅ (monthly)
1-17,17,14,14,3,11,21,ቅድስት እሌኒ ንግስት (annual) | ቅዱስ ኪራኮስ አረጋዊ (annual) | ቅዱስ መቃርስ ሊቀ ዻዻስ (annual) | ቅዱስ አውዶኪስ ቀሲስ (annual) | ብጽዕት ታኦግንስጣ ሮማዊት (annual) | ቅዱስ ዲዮናስዮስ ሊቀ ዻዻሳት (annual) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ ዘብዴዎስ) (monthly) | ቅዱሳን አበው መክሲሞስና ዱማቴዎስ (monthly) | አባ ዸላሞን ፈላሢ (monthly) | አባ ለትጹን የዋህ (monthly) | ቅዱስ ኤዺፋንዮስ ሊቅ (ዘደሴተ ቆዽሮስ) (monthly)
1-18,18,21,8,2,19,10,"አቡነ አኖሬዎስ ዓቢይ (annual) | ማር ያዕቆብ ግብጻዊ (annual) | ቅድስት እሌኒ ንግሠት (annual) | ቅዱስ ቶማስ ሐዋርያ (annual) | ቅዱስ መርቆሬዎስ ካልዕ (ሰማዕት) (annual) | ቅዱስ ቶማስ ሰማዕት (annual) | ቅዱስ ኤፍሬም ሰማዕት (annual) | አባ ፊልሞስ (annual) | ቅዱስ ሰልሖን ሰማዕት (annual) | ቅዱስ አክሳኤልስ ሰማዕት (annual) | ቅዱስ ይስሐቅ ሰማዕት (annual) | ቅዱስ እስጢፋኖስ ቀሲስ (annual) | ቅዱስ ነኪጣ ሰማዕት (annual) | አባ ፊላታውዎስ መንክራዊ (annual) | አባ ኖብ ባሕታዊ (annual) | አባ አትናቴዎስ ሊቀ ዻዻሳት (annual) | ""፮0"" ሰማዕታት (ማሕበረ ቅዱስ አቦሊ) (annual) | ቅዱስ ፊልዾስ ሐዋርያ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ከ፯፪ቱ አርድእት) (monthly)"
1-19,19,9,14,4,5,44,ቅዱስ ጐርጐርዮስ ዘአርማርያ (annual) | ቅዱስ ቂርቆስ ገዳማዊ (annual) | ቅድስት ሮማነ ወርቅ (annual) | ቅዱስ ኤስድሮስ ሰማዕት (monthly) | አቡነ ስነ ኢየሱስ (monthly)
1-20,20,11,4,1,10,9,አባ አትናቴዎስ ካልዕ (annual) | ቅድስት መሊዳማ ድንግል (annual) | ቅድስት አቴና ድንግል (annual) | ቅዱስ ስምዖን ዘኢየሩሳሌም (annual) | ቅዱስ አብርሃም መነኮስ (annual) | ቅዱስ ዮሐንስ ሐፂር (monthly) | ቅዱስ አክሎግ ቀሲስ (monthly) | ቅዱስ አፄ ካሌብ ጻድቅ (ንጉሠ ኢትዮዽያ) (monthly) | አባ አሞንዮስ ዘሃገረ ቶና (monthly) | ቅድስት ሳድዥ የዋሒት (monthly)
1-21,21,12,22,2,10,17,"ቅድስት ግሼን ደብረ ከርቤ (annual) | ""፫፲፰ቱ"" ቅዱሳን ሊቃውንት (annual) | ቅዱስ ቆዽርያኖስ ሰማዕት (annual) | ቅድስት ዮስቴና ድንግል (annual) | ቅዱስ ጢባርዮስ ሐዋርያ (annual) | አበው ጎርጎርዮሳት (monthly) | አቡነ ምዕመነ ድንግል (monthly) | አቡነ አምደ ሥላሴ (monthly) | አባ አሮን ሶርያዊ (monthly) | አባ መርትያኖስ ጻድቅ (monthly)"
1-22,22,10,4,1,9,10,ቅዱስ ዮልዮስ ሰማዕት (annual) | ቅዱስ ኮቶሎስ ሰማዕት (annual) | ቅድስት አክሱ ሰማዕት (annual) | ቅዱስ ጣጦስ ሰማዕት (annual) | ቅዱስ ባላን ሰማዕት (annual) | ቅዱስ ሉቃስ ወንጌላዊ (monthly) | ቅዱስ ደቅስዮስ (የእመቤታችን ወዳጅ) (monthly) | አባ እንጦንስ አበ መነኮሳት (monthly) | አባ ዻውሊ የዋህ (monthly)
1-23,23,12,13,3,9,25,ቅዱሳን ጻድቃን አውናብዮስ ወእንድርያስ (ሰማዕታት) (annual) | ቅዱስ ጐርጐርዮስ መንክራዊ (annual) | ቅድስት ቴክላ ድንግል (annual) | ቅዱስ ኤዎስጣቴዎስ ሰማዕት (annual) | አባ ጢሞቴዎስ ገዳማዊ (monthly) | ቅዱስ ዳንኤል ነቢይ (monthly) | አባ ሳሙኤል (monthly) | አባ ስምዖን (monthly) | አባ ገብርኤል (monthly)
1-24,24,11,12,3,8,27,ቅዱስ ጐርጐርዮስ ገዳማዊ (annual) | ቅዱስ አድሊጦስ ሐዋርያ (ከ፯፪ቱ አርድእት) (annual) | አቡነ ሰላማ (annual) | ቅዱስ ቶማስ ዘመርዐስ (monthly) | አቡነ ዘዮሐንስ ጻድቅ ዘክብራን (monthly) | ቅዱስ አጋቢጦስ (ጻድቅ ኤዺስቆዾስ) (monthly) | ቅዱስ አብላርዮስ ታላቁ (monthly) | ቅዱስ አባ ሙሴ ጸሊም (ኢትዮዽያዊ) (monthly)
1-25,25,13,14,3,10,23,ጸአተ ክረምት (የክረምት መውጫ) (annual) | ቅዱስ ዮናስ ነቢይ (annual) | ቅዱስ እንጦንዮስ (annual) | ቅድስት በርባራ (annual) | ሐዋርያት ዼጥሮስ ወዻውሎስ (annual) | ቅድስት ቴክላ ሐዋርያዊት (monthly) | ቅዱስ አበከረዙን ሰማዕት (monthly) | ቅዱስ ዱማድዮስ ሶርያዊ (monthly) | ቅዱስ አባ አቡፋና ጻድቅ (monthly) | ታላቁ አባ ቢጻርዮን ገዳማዊ (monthly)
1-26,26,10,9,3,7,30,ቅድስት ድንግል ማርያም (annual) | ቅዱስ ዮሴፍ አረጋዊ (annual) | ቅዱሳን ዘካርያስና ኤልሳቤጥ (annual) | ቅዱስ ቶማስ ሐዋርያ (monthly) | አቡነ ሐብተ ማርያም ጻድቅ (monthly) | ቅዱሳን ሰማዕታተ ናግራን (monthly) | ቅዱስ አቡነ ሰላማ ከሣቴ ብርሃን (monthly)
1-27,27,11,15,2,9,18,ቅዱስ ኤዎስጣቴዎስና ቤተሰቡ (ሰማዕታት) (annual) | ቅዱስ አንጢላርዮስ ጻድቅ (annual) | ቅድስት ጤቅላ ሐዋርያዊት (annual) | አባ ዮሐንስ ዘደብረ ጽጌ (annual) | አቡነ መብዐ ፅዮን ጻድቅ (monthly) | ቅዱስ መቃርስ (የመነኮሳት ሁሉ አለቃ) (monthly) | ቅዱስ ያዕቆብ ዘግሙድ (monthly) | ቅዱስ ገላውዴዎስ ሰማዕት (ንጉሠ ኢትዮዽያ) (monthly) | ቅዱስ ቢፋሞን ጻድቅና ሰማዕት (monthly)
1-28,28,10,5,3,7,30,ቅድስት ሶስና እናታችን (annual) | ቅዱስ ሉቃስ መነኰስ (annual) | ቅዱስ ዻውፍርና (annual) | ቅዱሳን አበው (አብርሃም ይስሐቅና ያዕቆብ) (monthly) | ቅዱስ እንድራኒቆስና ሚስቱ ቅድስት አትናስያ (monthly) | ቅድስት ዓመተ ክ ክርስቶስ (monthly) | ቅዱስ ቴዎድሮስ ሮማዊ (ሰማዕት) (monthly)
1-29,29,10,21,6,4,60,"ቅድስት አጋታ እመ ምኔት (annual) | ""፲፱፻"" ሰማዕታት (የቅድስት አርሴማ ማሕበር) (annual) | ቅዱስ ዼጥሮስ ተፍጻሜተ ሰማዕት (monthly) | ቅዱስ ማርቆስ ዘቶርማቅ (monthly)"
1-30,30,10,6,4,6,40,ቅዱስ አትናቴዎስ ሐዋርያዊ (annual) | አባ ሣሉሲ ክቡር ጻድቅ (annual) | ቅዱስ ጎርጎርዮስ ዘአርማንያ (annual) | አባ አሮን ዘገሊላ (annual) | ቅዱስ ጎርጎርዮስ ነባቤ መለኮት (monthly) | ቅድስት ሶፍያ ሰማዕት (monthly)
2-1,31,9,13,4,5,44,ቅድስት አንስጣስያ (ድንግል ጻድቅት ሰማዕት) (annual) | ቅድስት ሶስና ድንግል (annual) | ቅድስት ኅርጣን ድንግል (annual) | ቅዱስ በርተሎሜዎስ ሐዋርያ (monthly) | ቅዱስ ሚልኪ ትሩፈ ምግባር (monthly)
2-2,32,8,4,2,6,25,ሊቁ አባ ሕርያቆስ (annual) | ቅዱስ ሳዊሮስ ዘአንጾኪያ (annual) | ቅድስት ቴክላ ሰማዕት (annual) | ቅዱስ ኢዮብ ጻድቅ ተአጋሲ (monthly) | ቅዱስ አቤል ጻድቅ (monthly) | ቅዱስ አባ ዻውሊ ገዳማዊ (ታላቁ) (monthly)
2-3,33,12,11,4,8,33,ቅዱስ ጊዮርጊስ ሐዲስ (ሰማዕት) (annual) | አባ ስምዖን ሊቀ ዻዻሳት (annual) | ቅዱስ ጎርጎርዮስ ዘአርማንያ (annual) | ቅድስት ታኦድራ ልዕልት (annual) | ቅድስት ታኦፊላ (annual) | በዓታ ለእግዝእትነ ማርያም ድንግል ወላዲተ አምላክ (monthly) | ቅዱሳን ሊቃነ ካህናት አበው (ዘካርያስና ስምዖን) (monthly) | ቅዱስ ቄርሎስ ሊቅ (ዓምደ ሃይማኖት) (monthly)
2-4,34,10,9,5,5,50,ቅዱሳን ነገሥት አብርሃ ወአጽብሃ (annual) | ቅዱስ በርተሎሜዎስ ሐዋርያ (annual) | ቅዱስ ባኮስ ሰማዕት (annual) | ቅዱሳን ባባ እና ማማ (annual) | ቅድስት ሶፍያ ሰማዕት (monthly)
2-5,35,10,7,1,9,10,ቅዱስ ኪራኮስ አረጋዊ (ዻዻስ ወሰማዕት) (annual) | ቅድስት ሐና ሰማዕት (እናቱ) (annual) | ቅዱስ ያዕቆብ ወልደ እልፍዮስ (ከ፲፪ቱ ሐዋርያት) (annual) | አባ ዻውሎስ ሰማዕት (አርዮሳውያን አንቀው የገደሉት አባት) (annual) | ቅዱስ ዼጥሮስ ሊቀ ሐዋርያት (monthly) | ቅዱስ ዻውሎስ ብርሃነ ዓለም (monthly) | ቅዱስ ዮሐኒ ኢትዮዽያዊ (monthly) | ቅዱስ አሞኒ ዘናሒሶ (monthly) | ቅድስት አውጋንያ (ሰማዕትና ጻድቅ) (monthly)
2-6,36,19,15,5,14,26,ቅዱስ ዲዮናስዮስ ሐዋርያዊ (annual) | አባ ዸንጠሌዎን ዘጾማዕት (annual) | ከ፩ - ፫ ያንብቡ) (annual) | ቅድስት ሐና ነቢይት (የሳሙኤል እናት - ፩ሳሙ (annual) | ከ፩ - ፪ን ያንብቡ) (annual) | ቅዱሳን ኡሲፎርና ኡርያኖስ (ሰማዕታት) (annual) | ቅዱስ ሄኖስ ነቢይ (annual) | ቅድስት ደብረ ቁስቁዋም (monthly) | አባታችን ኖኅና እናታችን ሐይከል (monthly) | ቅዱስ ባስልዮስ ዘቂሣርያ (monthly) | ቅዱስ ዮሴፍ አረጋዊ (monthly) | ቅድስት ሰሎሜ (monthly) | አባ አርከ ሥሉስ (monthly) | አባ ጽጌ ድንግል (monthly)
2-7,37,11,7,3,8,27,አባ ባውላ መስተጋድል (annual) | አባ ሕዝቅኤል ጻድቅ (annual) | ቅዱስ ሚናስ ሰማዕት (annual) | ቅዱስ ሐናሲ ሰማዕት (annual) | አባ ሲኖዳ (የባሕታውያን አለቃ) (monthly) | አባ ዳንኤል ዘገዳመ ሲሐት (monthly) | አባ ባውላ ገዳማዊ (monthly) | ቅዱስ አትናቴዎስ ሐዋርያዊ (monthly)
2-8,38,11,3,1,10,9,አባ አጋቶን ባሕታዊ (annual) | ቅዱስ መጥራ አረጋዊ (ሰማዕት) (annual) | ቅድስት ሶስናና ልጆቿ (ሰማዕታት) (annual) | አባ ሖር (annual) | ቅድስት በላግያ ሰማዕት (annual) | ቅዱስ ሙሴ ሊቀ ነቢያት (monthly) | ኪሩቤል (አርባዕቱ እንስሳ) (monthly) | አባ ብሶይ (ቢሾይ) (monthly) | አባ ሳሙኤል ዘደብረ ቀልሞን (monthly) | ቅዱስ ማትያስ ሐዋርያ (ከ፲፪ቱ ሐዋርያት) (monthly)
2-9,39,15,9,4,11,27,"ቅዱስ ቶማስ ሐዋርያ (annual) | ቅዱስ እስጢፋኖስ ካልዕ (ሰማዕት) (annual) | ቅዱስ አትናስዮስ ብጹዕ (annual) | ቅዱስ ስምዖን ሰማዕት (annual) | ቅዱስ ሊዋርዮስ ሊቀ ዻዻሳት (annual) | ቅዱስ ባስልዮስ ዘቂሣርያ (annual) | ቅዱስ ቄርሎስ ሊቀ ዻዻሳት (annual) | አፄ ዳዊት ጻድቅ ንጉሠ ኢትዮዽያ (ግማደ መስቀሉን ያመጡ) (annual) | አባ በርሱማ ሶርያዊ (ለሶርያ መነኮሳት ኁሉ አባት) (monthly) | ""፫፲፰ቱ"" ቅዱሳን ሊቃውንት (ርቱዐነ ሃይማኖት ዘኒቅያ) (monthly) | የብሔረ ብፁዐን ጻድቃን (monthly)"
2-10,40,10,6,3,7,30,ቅዱሳን ባኮስና ሰርጊስ (ሰማዕታት) (annual) | ቅዱስ ዮሐንስ መስተጋድል (annual) | አባ አውማንዮስ ሊቀ ዻዻሳት (annual) | ቅዱስ ናትናኤል ሐዋርያ (monthly) | ቅዱስ ኒቆላዎስ ዘሃገረ ሜራ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ እልፍዮስ) (monthly) | ቅድስት ዕሌኒ ንግስት (monthly)
2-11,41,8,10,4,4,50,ቅዱስ አባ ያዕቆብ (ስደተኛው ሊቀ ዻዻሳት) (annual) | ቅድስት ዺላግያ ገዳማዊት (annual) | ቅዱስ አርማሚ ሰማዕት (annual) | ማር ገላውዴዎwስ ሰማዕት (monthly)
2-12,42,12,18,5,7,42,ቅዱስ ዳዊት ልበ አምላክ (የነገሠበት) (annual) | ቅዱስ ማቴዎስ ሐዋርያ (annual) | ቅዱስ ድሜጥሮስ ሊቅ (annual) | ቅድስት ልዕልተ ወይን (annual) | ጻድቃን ዼጥሮስ ወዻውሎስ (annual) | ቅዱስ ዮሐንስ አፈ ወርቅ (monthly) | ቅድስት ክርስቶስ ሠምራ (monthly)
2-13,43,11,15,3,8,27,"ቅዱስ ዮሐንስ አፈ ወርቅ (annual) | አባ ዘካርያስ ገዳማዊ (annual) | አባ ማርዳሪ ጻድቅ (annual) | ቅዱስ አብጥማዎስ ሰማዕት (annual) | ""፺፱ኙ"" ነገደ መላዕክት (monthly) | ቅዱስ አስከናፍር (monthly) | ""፲፫ቱ"" ግኁሳን አባቶች (monthly) | ቅዱስ አርሳንዮስ ጠቢብ ገዳማዊ (monthly)"
2-14,44,10,3,3,7,30,ቅዱስ ፊልዾስ ሐዋርያ (ከ፸፪ቱ አርድእት) (annual) | ቅዱስ ሙሴ መርዓዊ (annual) | ቅድስት እድና (የአረጋዊ እናት) (annual) | አባ ማትያስ (የአረጋዊ ረድዕ) (annual) | አባ ስምዖን ገዳማዊ (monthly) | አባ ዮሐንስ ጻድቅ (monthly) | እናታችን ቅድስት ነሣሒት (monthly)
2-15,45,10,6,2,8,20,"""፲፪ቱ"" ቅዱሳን ሐዋርያት (annual) | ቅዱስ ቢላሞን ሰማዕት (annual) | ""፻፶፰"" ሰማዕታት (የቅዱስ ቢላሞን ማሕበር) (annual) | ቅዱስ ሲላስ ሐዋርያ (annual) | ቅድስት ጾመታ (annual) | ቅዱስ ኤፍሬም ሶርያዊ (አፈ በረከት) (monthly) | ቅድስት እንባ መሪና (monthly) | ቅድስት ክርስጢና (monthly)"
2-16,46,12,3,3,9,25,አባ ያቃቱ ሊቀ ዻዻሳት (annual) | ጻድቃን እለ ድርቂ (annual) | አባ ዻውሊ ገዳማዊ (annual) | አባ ማርቆስ መስተጋድል (annual) | አባ አሮን መስተጋድል (annual) | ቅድስት ኤልሳቤጥ (የመጥምቁ ዮሐንስ እናት) (monthly) | ቅዱስ አኖሬዎስ ንጉሥ ጻድቅ (monthly) | አባ አቡናፍር ገዳማዊ (monthly) | አባ ዳንኤል ጻድቅ (monthly)
2-17,47,13,8,5,8,38,ቅዱስ ፊልያስ ሰማዕት (annual) | ቅድስት ሐና ነቢይት (annual) | አባ ዲዮስቆሮስ ካልዕ (annual) | ቅዱስ ያዕቆብ ሐዋርያ (ወልደ ዘብዴዎስ) (monthly) | ቅዱሳን አበው መክሲሞስና ዱማቴዎስ (monthly) | አባ ዸላሞን ፈላሢ (monthly) | አባ ለትጹን የዋህ (monthly) | ቅዱስ ኤዺፋንዮስ ሊቅ (ዘደሴተ ቆዽሮስ) (monthly)
2-18,48,9,1,1,8,11,ቅዱስ ቴዎፍሎስ ሊቅ (annual) | ቅዱስ ሮማኖስ ሰማዕት (annual) | ቅዱስ ዮሐንስ ሰማዕት (annual) | ቅድስት አስማኒትና ፯ቱ ልጆቿ (annual) | አቡነ አኖሬዎስ ዓቢይ (monthly) | ማር ያዕቆብ ግብጻዊ (monthly) | ቅዱስ ፊልዾስ ሐዋርያ (monthly) | ቅዱስ ያዕቆብ ሐዋርያ (ከ፯፪ቱ አርድእት) (monthly)
2-19,49,11,11,4,7,36,ቅዱስ ዮሐንስ ዘጸይለም (annual) | አባ ስምዖን ገዳማዊ (annual) | ቅዱሳን በርተሎሜዎስና ሚስቱ (ሰማዕታት) (annual) | አበው ኤዺስ ቆዾሳት (ሳምሳጢን ያወገዙ) (annual) | ጻድቃን እለ መጥራ (ቅዱስ ይምርሐነ ቤተ መቅደስ ውስጥ የምናያቸው አጽማቸው የፈሰሰው ቅዱሳን ናቸው) (annual) | ቅዱስ ኤስድሮስ ሰማዕት (monthly) | አቡነ ስነ ኢየሱስ (monthly)
2-20,50,8,4,1,7,12,ቅዱስ አባ ዮሐንስ ሐጺር (annual) | ቅዱስ ኤልሳዕ ነቢይ (annual) | አባ ባይሞይ (annual) | ቅዱስ አክሎግ ቀሲስ (monthly) | ቅዱስ አፄ ካሌብ ጻድቅ (ንጉሠ ኢትዮዽያ) (monthly) | አባ አሞንዮስ ዘሃገረ ቶና (monthly) | ቅድስት ሳድዥ የዋሒት (monthly)
2-21,51,11,21,2,9,18,ቅዱስ አልዓዛር ሐዋርያ (annual) | አባ ዮሐንስ ዘኢየሩሳሌም (annual) | ቅዱስ ኢዩኤል ነቢይ (annual) | ቅዱስ ማትያስ ረድእ (annual) | አበው ጎርጎርዮሳት (monthly) | አቡነ ምዕመነ ድንግል (monthly) | አቡነ አምደ ሥላሴ (monthly) | አባ አሮን ሶርያዊ (monthly) | አባ መርትያኖስ ጻድቅ (monthly)
2-22,52,9,4,1,8,11,"ቅዱስ ሉቃስ ወንጌላዊ ሐዋርያ (annual) | ቅዱስ ሲላስ አረጋዊ (የቅዱስ ሉቃስ ረድእ) (annual) | ቅዱስ ታኦፊላ (annual) | ""፵፻፸፯"" ሰማዕታት (የቅዱስ ሉቃስ ማሕበር) (annual) | ቅዱስ ደቅስዮስ (የእመቤታችን ወዳጅ) (monthly) | አባ እንጦንስ አበ መነኮሳት (monthly) | አባ ዻውሊ የዋህ (monthly) | ቅዱስ ዮልዮስ ሰማዕት (monthly)"
2-23,53,12,13,3,9,25,አባ ዮሴፍ ጻድቅ ሊቀ ዻዻሳት (annual) | ቅዱስ ዲዮናስዮስ ሰማዕት (annual) | ቅዱስ ኢላርዮስ (annual) | ቅድስት እለእስክንድርያ ሰማዕት (annual) | አባ ጢሞቴዎስ ገዳማዊ (monthly) | ቅዱስ ዳንኤል ነቢይ (monthly) | አባ ሳሙኤል (monthly) | አባ ስምዖን (monthly) | አባ ገብርኤል (monthly)
