Batch7,25,G,አቡነ ኤዎስጣቴዎስ,አቡነ ኤዎስጣቴዎስ,GZ-MEL-135,መልክዐ ኤዎስጣቴዎስ በግእዝ,ግእዝ,መስከረም 18,User Verified (Tazkar; birth ሐምሌ 21 not used),verified
Batch7,26,G,ጴጥሮስ ወጳውሎስ,ሐዋርያት ጴጥሮስ ወጳውሎስ,GZ-MEL-158,መልክዐ ጴጥሮስ ወጳውሎስ በግእዝ,ግእዝ,ሐምሌ 5,User Verified (Joint Martyrdom; corrected from ሰኔ 5),verified
Batch7,27,G,ቅዱስ ሱርያል ሊቀ መላእክት,ቅዱስ ሱርያል ሊቀ መላእክት,GZ-MEL-008,መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ,ግእዝ,የካቲት 27 / Monthly Day 27,User Verified (Annual የካቲት 27 + Monthly 27),verified

batch,#,section,group,canonical_group,book_id,title,language,final_dates,decision_source,status
Batch7,28,G,ዘመጠራ,ቅዱሳን ዘመጠራ,GZ-MEL-048,መልክዐ ቅዱሳን ዘመጠራ በግእዝ,ግእዝ,ጥቅምት 19,User Hard Copy Research,verified
Batch7,29,G,አፍቅረነ እግዚእ,አቡነ አፍቅረነ እግዚእ,GZ-MEL-100,መልክዐ አቡነ አፍቅረነ እግዚእ በግእዝ,ግእዝ,ግንቦት 19,User Hard Copy p349,verified
Batch7,30,G,ሰይፈ ሚካኤል,አቡነ ሰይፈ ሚካኤል,GZ-MEL-083,መልክዐ አቡነ ሰይፈ ሚካኤል በግእዝ,ግእዝ,ጥቅምት 19,User Research Verified,verified
Batch7,31,G,ይምአታ,አቡነ ይምአታ,GZ-MEL-108,መልክዐ አቡነ ይምአታ በግእዝ,ግእዝ,ጥቅምት 28,User Research Verified,verified
Batch7,32,G,ዮናስ ዘደብረ ድኁኃን,አቡነ ዮናስ ዘደብረ ድኁኃን,GZ-MEL-113,መልክዐ አቡነ ዮናስ ዘደብረ ድኁኃን ዘደብረ ጽጌ ወዘደብረ ጽዮን በግእዝ,ግእዝ,"መጋቢት 17, ኅዳር 17",User Verified (two annual dates),verified
Batch7,33,G,የሐንስ ዘደብረ ቢዘን,አቡነ የሐንስ ዘደብረ ቢዘን,GZ-MEL-107,መልክዐ አቡነ የሐንስ ዘደብረ ቢዘን በግእዝ,ግእዝ,Monthly Day 13,User Verified (ወርሃዊ 13),verified
Batch7,34,G,ጰንጠሌዎን,አባ ጰንጠሌዎን ጻድቅ,GZ-MEL-115,መልክዐ አቡነ ጰንጠሌዎን በግእዝ,ግእዝ,ጥቅምት 6,User Verified (ጥቅምት 6),verified
Batch7,35,G,ሠለስቱ ምዕት,ሠለስቱ ምዕት,GZ-MEL-033,መልክዐ ሠለስቱ ምዕት በግእዝ,ግእዝ,ኅዳር 9,User Verified,verified
Batch7,36,G,ተክለ ማርያም,አቡነ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን,GZ-MEL-070,መልክዐ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን በግእዝ,ግእዝ,ነሐሴ 13,User Verified,verified
Batch7,37,G,አበክረዙን,አቡነ አበክረዙን,GZ-GDL-005,ገድለ አቡነ አበክረዙን በግእዝ,ግእዝ,ሐምሌ 3,User Verified,verified
Batch7,38,G,ተንሥአ መድኅን,ተንሥአ መድኅን,GZ-MEL-090,መልክዐ አቡነ ተንሥአ መድኅን በግእዝ,ግእዝ,Seasonal: ከትንሣኤ እስከ ጰራቅሊጦስ (50 ቀናት),User Verified (movable season - SEASON/PENTECOST row),verified
Batch7,39,G,ፊሳልጎስ (መጽሐፍ),የፊሳልጎስ መጽሐፍ,GZ-DRS-006,ድርሳን ዘብጹዕ ፊሳልጎስ በግእዝ,ግእዝ,,User Decision (book not saint - educational skip),skipped
Batch7,40,G,ይምርሃነ ክርስቶስ,ይምርሃነ ክርስቶስ,GZ-MEL-148,መልክዐ ይምርሃነ ክርስቶስ በግእዝ,ግእዝ,ጥቅምት 19,User Hard Copy p376,verified
Batch7,41,G,ዜናሁ ለንጉሥ ገላውዴዎስ,ማር ገላውዴዎስ,GZ-ZNA-002,ዜናሁ ለንጉሥ ገላውዴዎስ በግእዝ,ግእዝ,መጋቢት 27,User Verified,verified
Batch7,42,G,ሰማዕቱ ጲላጦስ,ሰማዕቱ ጲላጦስ መስፍን,GZ-SME-001,ስምዐ ጲላጦስ በግእዝ,ግእዝ,ሰኔ 25,User Verified,verified
Batch7,43,G,ሥሉስ ቅዱስ,በዓለ ሥሉስ,GZ-MEL-034,መልክዐ ሥሉስ ቅዱስ በግእዝ,ግእዝ,ጥር 7,User Verified (annual feast only),verified
Batch7,44,G,እንጦንስ አበ መነኮሳት,አባ እንጦንስ አበ መነኮሳት,GZ-MEL-138,መልክዐ እንጦንዮስ በግእዝ,ግእዝ,"ጥር 22, መጋቢት 6, ሐምሌ 22",User Verified (ልደቱ/ዕረፍቱ + ገዳማዊ + ቅዳሴ ቤቱ),verified
Batch7,45,G,ቅዱስ አባዲር,ቅዱስ አባዲር,GZ-MEL-056,መልክዐ ቅዱስ አባዲር በግእዝ,ግእዝ,መስከረም 28,User Verified,verified
Batch7,46,G,ቅዱስ አባዲር ወኢራኢ,ቅዱስ አባዲር ወኢራኢ,GZ-GDL-026,ገድለ ቅዱሳን አባዲር ወኢራኢ በግእዝ,ግእዝ,መስከረም 28,User Verified,verified
Batch7,47,G,ቅዱስ ሱስንዮስ,ቅዱስ ሱስንዮስ ሰማዕት ሶርያዊ,GZ-GDL-009,ገድለ ቅዱስ ሱስንዮስ በግእዝ,ግእዝ,ሚያዝያ 26,User Verified (martyr not ጻድቅ),verified
Batch7,48,G,ገብረ ክርስቶስ,ቅዱስ ገብረ ክርስቶስ መርዓዊ,GZ-MEL-153,መልክዐ ገብረ ክርስቶስ በግእዝ,ግእዝ,ጥቅምት 14,User Verified (መርዓዊ),verified
Batch7,49,G,አቡነ ሙሴ,አቡነ ሙሴ,GZ-MEL-079,መልክዐ አቡነ ሙሴ በግእዝ,ግእዝ,መስከረም 4,User Verified (identified among 11),verified
Batch7,50,G,ዮሐንስ ዘድብረ ዳጋ,አቡነ ዮሐንስ ዘድብረ ዳጋ,GZ-MEL-110,መልክዐ አቡነ ዮሐንስ ዘድብረ ዳጋ በግእዝ,ግእዝ,ነሐሴ 8,User Verified (identified among 38),verified
Batch7,51,G,አቡነ ዮሐንስ,አቡነ ዮሐንስ,GZ-GDL-018,ገድለ አቡነ ዮሐንስ በግእዝ,ግእዝ,ሐምሌ 29,User Verified (identified among 38),verified
Batch7,52,G,ቶማስ ዘዘናቁዴ,አቡነ ቶማስ ዘዘናቁዴ,GZ-MEL-094,መልክዐ አቡነ ቶማስ ዘዘናቁዴ በግእዝ,ግእዝ,ኅዳር 3,User Verified,verified
Batch7,53,G,ማቴዎስ ዘደብረ በርበሬ ካልእ,አቡነ ማቴዎስ ዘደብረ በርበሬ,GZ-MEL-081,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ ካልዕ በግእዝ,ግእዝ,ኅዳር 13,User Verified,verified
Batch7,54,G,ማቴዎስ ዘደብረ በርበሬ,አቡነ ማቴዎስ ዘደብረ በርበሬ,GZ-MEL-080,መልክዐ አቡነ ማቴዎስ ዘደብረ በርበሬ በግእዝ,ግእዝ,ጥር 14,User Verified,verified
Batch7,55,G,ፊልጶስ ዘደብረ ቢዘን,አቡነ ፊልጶስ ዘደብረ ቢዘን,GZ-MEL-120,መልክዐ አቡነ ፊልጶስ ዘደብረ ቢዘን በግእዝ,ግእዝ,ነሐሴ 5,User Verified (monk not apostle),verified
Batch7,56,G,መርቆሬዎስ ዘደብረ ድማኅ,አቡነ መርቆሬዎስ ዘደብረ ድማኅ,GZ-MEL-076,መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ,ግእዝ,ታኅሣሥ 16,User Verified (monk not martyr),verified
Batch7,57,G,እንድርያስ ዘደብረ ጽጌ,አቡነ እንድርያስ ዘደብረ ጽጌ,GZ-MEL-103,መልክዐ አቡነ እንድርያስ ዘደብረ ጽጌ በግእዝ,ግእዝ,የካቲት 1,User Verified (monk not apostle),verified
Batch7,58,G,እንድርያስ ዘደብረ ስኂን,አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን),GZ-MEL-102,መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ,ግእዝ,መጋቢት 29,User Verified (monk not apostle),verified
